dataset	dataset_label	k	method	kmer_count	S_bits_per_kmer	M_bits_per_kmer	lb
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	2.667468892068365	0.07922490882115872	2.4604984262277783
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	2.6832984669354714	0.1125046002817956	2.4604984262277783
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	3.3811721342532564	0.18559237946375412	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	2.62920343012124	0.08948187567747913	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	greedy-minone	760242982	2.62920343012124	0.17836554261016513	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	greedy-minrun	760242982	2.62920343012124	0.08894890923175927	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-1	760242982	2.6292753939555604	0.08941410787005463	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-250	760242982	2.991501685444036	0.046534175043525756	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-30	760242982	2.6535151836495348	0.07333621660449606	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-400	760242982	3.208593928197551	0.04069924054885916	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-7	760242982	2.630967800239424	0.08401212969039944	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	joint-70	760242982	2.7148992504609533	0.0631159894087651	2.6369438427630807
E._coli_pangenome	E. coli pangenome	63	matchtigs	760242982	2.8342315930776985	0.07197565159503176	2.6369438427630807
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	eulertigs	3094561	2.8167394341232894	0.38354002393231224	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	greedy-maxone	3094561	2.238683289810736	0.23942911450121682	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	greedy-minone	3094561	2.238683289810736	0.36486209190899777	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	greedy-minrun	3094561	2.238683289810736	0.23022587048696083	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-1	3094561	2.2392662481043355	0.22466256118396116	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-250	3094561	3.098982375852342	0.002109507616750809	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-30	3094561	2.477314229708188	0.09197039580089066	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-400	3094561	3.110008172403129	0.0015924714361746303	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-7	3094561	2.26231442844397	0.17668160362649177	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	joint-70	3094561	2.806765159904749	0.032490553587407066	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	15	matchtigs	3094561	2.4785557628367965	0.15809156775387526	2.23929412629515
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	eulertigs	4179237	2.854926868229775	0.21843795889058218	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	greedy-maxone	4179237	2.484196517211156	0.14834478159530076	2.485035702292805
N._gonorrhoeae_pangenome	N. gonorrhoeae pangenome	31	greedy-minone	4179237	2.484196517211156	0.21246366262549837	2.485035702292805
