dataset	dataset_label	k	method	kmer_count	component	compressor	compression_setting	size_bytes	bits_per_kmer
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	superstring	geco3	basic	93710696	2.134000917766153
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	mask	geco3	max	6718805	0.15300212940785138
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	superstring	geco3	max	78281058	1.782633752028749
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	mask	xz	basic	10449820	0.2379656370334834
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	superstring	xz	basic	92861560	2.114664202954983
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	mask	xz	max	7287402	0.16595034739824044
E._coli_pangenome	E. coli pangenome	21	greedy-minrun	351305176	superstring	xz	max	86117768	1.9610930639974402
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	mask	geco3	basic	6625103	0.15086832651734114
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	superstring	geco3	basic	93587014	2.1311844036137972
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	mask	geco3	max	6512669	0.14830795433540667
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	superstring	geco3	max	77434784	1.7633622113213612
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	mask	xz	basic	10202848	0.23234153544040012
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	superstring	xz	basic	92483504	2.1060550272108713
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	mask	xz	max	7013827	0.15972043634221889
E._coli_pangenome	E. coli pangenome	21	joint-1	351305176	superstring	xz	max	85632272	1.9500372405557724
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	mask	geco3	basic	1374228	0.031294227216282174
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	superstring	geco3	basic	117469391	2.675039231417416
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	mask	geco3	max	1403311	0.031956511793609324
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	superstring	geco3	max	69079713	1.5730986667842322
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	mask	xz	basic	2666644	0.06072541327999107
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	superstring	xz	basic	106784484	2.4317201406676685
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	mask	xz	max	1483498	0.033782548082923775
E._coli_pangenome	E. coli pangenome	21	joint-250	351305176	superstring	xz	max	87421584	1.9907838534095494
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	mask	geco3	basic	3700338	0.0842649241239759
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	superstring	geco3	basic	97208808	2.213660706211741
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	mask	geco3	max	3675640	0.08370249574688873
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	superstring	geco3	max	70978527	1.6163388836605128
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	mask	xz	basic	6467648	0.1472827260592369
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	superstring	xz	basic	91172056	2.0761904401886753
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	mask	xz	max	3882814	0.08842030838737201
E._coli_pangenome	E. coli pangenome	21	joint-30	351305176	superstring	xz	max	82005040	1.8674371026061967
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	mask	geco3	basic	1057790	0.02408823034249857
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	superstring	geco3	basic	123399246	2.81007521506031
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	mask	geco3	max	1114490	0.025379415417437517
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	superstring	geco3	max	69681230	1.5867965463736862
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	mask	xz	basic	2126592	0.04842722841066253
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	superstring	xz	basic	112919912	2.571437478621152
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	mask	xz	max	1172102	0.026691368760248496
E._coli_pangenome	E. coli pangenome	21	joint-400	351305176	superstring	xz	max	89617548	2.040790836511899
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	mask	geco3	basic	5432341	0.12370648361867574
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	superstring	geco3	basic	93900304	2.1383187135278643
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	mask	geco3	max	5403389	0.12304718220263285
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	superstring	geco3	max	75282244	1.7143440892541817
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	mask	xz	basic	8824796	0.20096022724128607
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	superstring	xz	basic	91410464	2.0816195204593284
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	mask	xz	max	5763721	0.13125274305665227
E._coli_pangenome	E. coli pangenome	21	joint-7	351305176	superstring	xz	max	84064544	1.9143365880837464
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	mask	geco3	basic	2638292	0.06007977519807451
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	superstring	geco3	basic	102920581	2.343730477799735
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	mask	geco3	max	2587532	0.05892385713098631
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	superstring	geco3	max	69110628	1.5738026700750916
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	mask	xz	basic	4790080	0.10908077255314906
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	superstring	xz	basic	94221656	2.1456366131081426
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	mask	xz	max	2758361	0.06281401330676666
E._coli_pangenome	E. coli pangenome	21	joint-70	351305176	superstring	xz	max	82556680	1.879999172001952
E._coli_pangenome	E. coli pangenome	21	matchtigs	351305176	mask	geco3	basic	6823500	0.15538626735177963
